plot_label	site	elevation	long_dd	lat_dd	X_UTM	Y_UTM	type	dim	area	no_subpl	date1	authors1	date2	authors2	comments	dbh10_inv1	sp_dbh10_inv1	fam_dbh10_inv1	indet_dbh10_inv1	dbh10_inv2	sp_dbh10_inv2	fam_dbh10_inv2	indet_dbh10_inv2	dbh2_10_inv1	sp_dbh2_10_inv1	fam_dbh2_10_inv1	indet_dbh2_10_inv1	dbh2-10_inv2	sp_dbh2_10_inv2	fam_dbh2_10_inv2	indet_dbh2_10_inv2
DOR_T4	Site minier Dorlin - Montagne Nivrée	100	-53.55	3.75	216760.00	414900.00	PCQ1	500	NA	26	1999	Daniel Sabatier & Philippe Birnbaum			Terra firme	176	86	29	12	0	0	0	0	0	0	0	0	0	0	0	0
DP04	Forêt domaniale de Crique Plomb	110	-52.95	5.04	282865.00	558031.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	88	34	16	2	0	0	0	0	0	0	0	0	0	0	0	0
DP05	Forêt domaniale de Crique Plomb	100	-52.96	5.04	282232.00	557823.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	80	29	13	3	0	0	0	0	0	0	0	0	0	0	0	0
DP09	Forêt domaniale de Crique Plomb	110	-52.93	5.02	285131.00	555591.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	162	48	21	20	0	0	0	0	0	0	0	0	0	0	0	0
DP12	Forêt domaniale de Crique Plomb	200	-52.92	5.02	286186.00	556031.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	148	55	20	5	0	0	0	0	0	0	0	0	0	0	0	0
DP15	Forêt domaniale de Crique Plomb	120	-52.95	5.05	283787.00	558659.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	77	32	15	3	0	0	0	0	0	0	0	0	0	0	0	0
DP16	Forêt domaniale de Crique Plomb	120	-52.95	5.05	283521.00	558748.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	77	44	18	8	0	0	0	0	0	0	0	0	0	0	0	0
DP18	Forêt domaniale de Crique Plomb	120	-52.92	5.02	286318.00	555389.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	146	56	22	12	0	0	0	0	0	0	0	0	0	0	0	0
DP22	Forêt domaniale de Crique Plomb	120	-52.94	5.04	283964.00	558437.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	100	41	17	5	0	0	0	0	0	0	0	0	0	0	0	0
DP23	Forêt domaniale de Crique Plomb	120	-52.94	5.03	284691.00	556654.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	85	36	14	3	0	0	0	0	0	0	0	0	0	0	0	0
DP25	Forêt domaniale de Crique Plomb	120	-52.94	5.03	284801.00	556455.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	133	37	13	16	0	0	0	0	0	0	0	0	0	0	0	0
DP28	Forêt domaniale de Crique Plomb	100	-52.96	5.04	282299.00	558022.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	146	48	19	14	0	0	0	0	0	0	0	0	0	0	0	0
DP32	Forêt domaniale de Crique Plomb	100	-52.95	5.04	283307.00	557499.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	200	45	22	42	0	0	0	0	0	0	0	0	0	0	0	0
DP57	Station de recherche de la Piste de St Elie - Layon de crête	70	-53.06	5.29	271452.00	585653.00	full	30x40	0.12	12	1998	Dominique Paget & Daniel Sabatier			Terra firme	85	47	22	0	0	0	0	0	0	0	0	0	0	0	0	0
GF1	Station expérimentale de Paracou - Guyaflux	40	-52.92	5.27	286770.32	583789.91	full	70x70	0.49	49	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	271	89	33	2	0	0	0	0	0	0	0	0	0	0	0	0
GF10	Station expérimentale de Paracou - Guyaflux	40	-52.92	5.27	287045.00	583686.00	full	70x70	0.49	49	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	310	117	37	6	0	0	0	0	0	0	0	0	0	0	0	0
GF2	Station expérimentale de Paracou - Guyaflux	40	-52.92	5.27	286793.94	583900.44	full	70x70	0.49	49	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	269	104	36	1	0	0	0	0	0	0	0	0	0	0	0	0
GF3	Station expérimentale de Paracou - Guyaflux	40	-52.92	5.27	287201.00	583805.00	full	70x70	0.49	49	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	253	97	38	4	0	0	0	0	0	0	0	0	0	0	0	0
GF4	Station expérimentale de Paracou - Guyaflux	40	-52.92	5.28	286955.14	584043.72	full	70x70	0.49	49	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	241	82	34	3	0	0	0	0	0	0	0	0	0	0	0	0
GF5	Station expérimentale de Paracou - Guyaflux	40	-52.91	5.28	287228.11	584119.20	full	70x70	0.49	49	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	244	95	30	3	0	0	0	0	0	0	0	0	0	0	0	0
GF6	Station expérimentale de Paracou - Guyaflux	40	-52.91	5.28	287346.70	584105.56	full	70x70	0.49	49	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	241	92	31	7	0	0	0	0	0	0	0	0	0	0	0	0
GF7	Station expérimentale de Paracou - Guyaflux	40	-52.92	5.27	286892.56	583882.44	full	100x50	0.50	50	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	292	63	27	22	0	0	0	0	0	0	0	0	0	0	0	0
GF8	Station expérimentale de Paracou - Guyaflux	40	-52.92	5.28	287011.59	584013.69	full	70x70	0.49	49	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	246	94	32	3	0	0	0	0	0	0	0	0	0	0	0	0
GF9	Station expérimentale de Paracou - Guyaflux	40	-52.92	5.27	286823.44	583759.88	full	70x70	0.49	49	2004	Daniel Sabatier with Jean-Yves Goret			Terra firme	343	115	35	7	0	0	0	0	0	0	0	0	0	0	0	0
INI1	Rivière Grand Inini	150	-53.83	3.56	185379.16	394130.04	full	20x500	1.00	100	1990	Daniel Sabatier & Marie-Françoise Prévost			Terra firme	625	175	40	2	0	0	0	0	0	0	0	0	0	0	0	0
INI2	Rivière Grand Inini	150	-53.83	3.56	185523.72	394129.60	full	20x500	1.00	100	1990	Daniel Sabatier & Marie-Françoise Prévost			Terra firme	643	172	45	4	0	0	0	0	0	0	0	0	0	0	0	0
ITO1	Mont Itoupé - Versant Ouest	600	-53.09	-53.09	267550.61	334273.22	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	113	73	34	1	0	0	0	0	0	0	0	0	0	0	0	0
ITO10	Mont Itoupé - Versant Est	600	-53.07	3.02	269650.72	334146.30	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	108	51	25	1	0	0	0	0	0	0	0	0	0	0	0	0
ITO2	Mont Itoupé - Versant Ouest	600	-53.09	3.02	267642.86	334057.97	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	110	70	33	3	0	0	0	0	0	0	0	0	0	0	0	0
ITO3	Mont Itoupé - Versant Ouest	400	-53.10	3.02	265913.62	334307.11	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	108	46	24	1	0	0	0	0	0	0	0	0	0	0	0	0
ITO4	Mont Itoupé - Versant Ouest	400	-53.10	3.02	265852.44	334614.47	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	109	49	24	1	0	0	0	0	0	0	0	0	0	0	0	0
ITO5	Mont Itoupé - Sommet tabulaire	800	-53.08	3.02	268384.34	334148.72	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	108	60	30	8	0	0	0	0	0	0	0	0	0	0	0	0
ITO6	Mont Itoupé - Sommet tabulaire	800	-53.08	3.02	268322.56	334148.84	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	110	63	27	3	0	0	0	0	0	0	0	0	0	0	0	0
ITO7	Mont Itoupé - Versant Ouest	200	-53.11	3.02	264430.81	334217.82	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	113	43	18	0	0	0	0	0	0	0	0	0	0	0	0	0
ITO8	Mont Itoupé - Versant Ouest	200	-53.12	3.02	264245.90	334433.25	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	113	37	19	4	0	0	0	0	0	0	0	0	0	0	0	0
ITO9	Mont Itoupé - Versant Est	600	-53.07	3.02	269465.51	334208.10	PCQ1	240	NA	13	2010	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock & Michel Tarcy			Terra firme	107	58	31	0	0	0	0	0	0	0	0	0	0	0	0	0
ITOE1	Mont Itoupé - Versant Est	330	-53.05	3.00	271808.59	331899.39	PCQ2	200x100	NA	14	2014	Daniel Sabatier & Jean-François Molino, with Chantal Geniez & Jean-Louis Smock			Terra firme	112	57	24	2	0	0	0	0	0	0	0	0	0	0	0	0
ITOE2	Mont Itoupé - Versant Est	320	-53.05	3.01	271934.86	333343.15	PCQ2	200x100	NA	14	2014	Daniel Sabatier & Jean-François Molino, with Chantal Geniez & Jean-Louis Smock			Terra firme	112	59	22	2	0	0	0	0	0	0	0	0	0	0	0	0
ITOE3	Mont Itoupé - Versant Est	430	-53.05	3.02	271596.37	334019.71	PCQ2	200x100	NA	14	2014	Daniel Sabatier & Jean-François Molino, with Chantal Geniez & Jean-Louis Smock			Terra firme	112	67	28	0	0	0	0	0	0	0	0	0	0	0	0	0
ITOE4	Mont Itoupé - Versant Est	340	-53.05	3.03	271752.96	335156.18	PCQ2	180x100	NA	14	2014	Daniel Sabatier & Jean-François Molino, with Chantal Geniez & Jean-Louis Smock			Terra firme	112	54	27	1	0	0	0	0	0	0	0	0	0	0	0	0
ITOE5	Mont Itoupé - Versant Est	330	-53.05	3.03	271599.46	335648.05	PCQ2	200x60	NA	14	2014	Daniel Sabatier & Jean-François Molino, with Chantal Geniez & Jean-Louis Smock			Terra firme	112	56	24	5	0	0	0	0	0	0	0	0	0	0	0	0
ITOE6	Mont Itoupé - Versant Est	310	-53.05	3.04	271292.23	336508.90	PCQ2	200x100	NA	14	2014	Daniel Sabatier & Jean-François Molino, with Chantal Geniez & Jean-Louis Smock			Terra firme	112	56	27	5	0	0	0	0	0	0	0	0	0	0	0	0
